Spanish,English
libro,book
calle,Street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,go
perfecto,perfect
buscar,search for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,big
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,forehead
perdido,lost
llamo,I call
muertos,dead
millones,millions
asesino,assassin
sueño,dream
quisiera,I'd like
habría,there would be
hará,he will do
viaje,trip
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,force
llamado,called
oído,hearing
dado,dice
encima,on
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,He had
secreto,secret
vuelve,returns
miren,Look
quieras,want.
haría,would do
acaba,just
otras,Others
incluso,even
sientes,you feel
deberíamos,we should
haz,do
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,inside
profesor,teacher
habitación,bedroom
daño,hurt
tuyo,of yours
seas,Seas.
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,set
prueba,proof
mire,Look
tonto,foolish
campo,country
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,matter
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,I was
tratando,trying
ejército,army
futuro,future
llevar,bring
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,weird
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,film
anda,Anda
ello,it
negocio,business
novia,girlfriend
permiso,Excuse me
creí,I believed.
suena,sounds
ocurre,occurred
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to get back
vio,he saw
hazlo,do it
trasero,rear
grupo,group
entendido,understood
señorita,miss
música,music
perra,bitch
conoce,known
empezar,start
siente,Feel
acabo,finished
estúpido,stupid
diferente,different
traje,suit
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,pain
largo,long
entra,enters
piso,floor
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,to win
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,tell him.
lindo,cute
funciona,it works
programa,Program
vine,came
abre,opens
sean,Sean.
pagar,to pay
fotos,Photos
centro,center
supone,Suppose
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,teacher
hambre,hungry
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,he could
derecha,right
izquierda,left
próxima,Next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten.
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,Chick
servicio,service
tren,train
bonito,beautiful
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,You have
corre,run
baja,short
sol,Sun
siéntate,Sit down
dan,Dan.
humano,human
divertido,fun
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,following
hablo,I speak
disculpa,excuse
decirme,tell me
caja,cash register
negocios,business
misión,mission
silencio,be quiet
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own
oro,gold
enseguida,right away
linda,beautiful
prometo,I promise
esposo,husband
norte,North
hubo,was
juro,Juro.
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,why
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,edifice
irnos,weaken
aun,still
tendremos,we will have
vayas,Vayas.
doy,give
trae,Bring
salió,he left
ley,law
ahi,there
verdadero,true
pelea,Fight
banco,Bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I'll give
gobierno,government
comprar,purchase
creen,Creen.
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,boyfriend
sala,living room
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,anyone
excelente,Excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,many
espada,sword
estábamos,We were
carne,meat
maravilloso,marvelous
vidas,Lives
sucedió,It happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,Liberty
jesús,Jesus
ocurrió,occurred
veré,I will see
sueños,Dreams
pudiera,I could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,He believed.
luna,Moon
salvar,save
carta,letter
estés,Bene
cielos,Heavens
teniente,lieutenant
encuentra,finds
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,Need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,candy
pruebas,evidence
querías,You wanted
abuelo,Grandpa
totalmente,completely
mirando,looking
vayan,go
carrera,race
